latitude,longitude,value
37.708,-122.45,1
37.708,-122.46,5
37.708,-122.486,3
37.708,-122.434,4
37.708,-122.454,3
37.708,-122.424,1
37.708,-122.465,1
37.708,-122.453,1
37.708,-122.433,1
37.708,-122.405,1
37.709,-122.405,8
37.709,-122.454,1
37.709,-122.458,1
37.709,-122.471,3
37.709,-122.407,1
37.709,-122.412,10
37.709,-122.408,1
37.709,-122.453,2
37.709,-122.434,9
37.709,-122.461,10
37.709,-122.424,10
37.709,-122.421,1
37.709,-122.442,1
37.709,-122.401,2
37.709,-122.456,1
37.709,-122.414,3
37.709,-122.415,8
37.709,-122.43,1
37.709,-122.455,2
37.709,-122.413,4
37.709,-122.431,2
37.709,-122.46,4
37.709,-122.448,1
37.709,-122.452,10
37.709,-122.465,2
37.709,-122.422,2
37.709,-122.462,5
37.709,-122.41,11
37.709,-122.42,3
37.709,-122.444,2
37.709,-122.464,3
37.709,-122.469,2
37.709,-122.436,8
37.709,-122.466,1
37.709,-122.437,5
37.709,-122.451,8
37.709,-122.433,4
37.709,-122.445,1
37.709,-122.423,1
37.709,-122.435,8
37.709,-122.463,3
37.709,-122.468,1
37.709,-122.457,1
37.709,-122.411,2
37.709,-122.438,7
37.709,-122.432,6
37.709,-122.447,1
37.709,-122.446,1
37.709,-122.406,1
37.71,-122.46,7
37.71,-122.463,8
37.71,-122.445,2
37.71,-122.405,16
37.71,-122.435,12
37.71,-122.41,4
37.71,-122.447,2
37.71,-122.401,6
37.71,-122.432,7
37.71,-122.443,3
37.71,-122.471,3
37.71,-122.444,3
37.71,-122.399,7
37.71,-122.412,2
37.71,-122.442,1
37.71,-122.438,1
37.71,-122.461,4
37.71,-122.468,6
37.71,-122.45,12
37.71,-122.434,5
37.71,-122.446,2
37.71,-122.451,5
37.71,-122.408,2
37.71,-122.415,4
37.71,-122.433,15
37.71,-122.459,3
37.71,-122.469,3
37.71,-122.436,7
37.71,-122.4,5
37.71,-122.404,2
37.71,-122.419,8
37.71,-122.449,12
37.71,-122.431,12
37.71,-122.413,8
37.71,-122.437,3
37.71,-122.396,4
37.71,-122.424,1
37.71,-122.439,7
37.71,-122.409,3
37.71,-122.47,15
37.71,-122.414,1
37.71,-122.397,9
37.71,-122.406,3
37.71,-122.452,3
37.71,-122.457,1
37.71,-122.456,6
37.71,-122.448,5
37.71,-122.441,2
37.71,-122.398,4
37.71,-122.453,1
37.71,-122.454,5
37.71,-122.455,2
37.71,-122.44,1
37.71,-122.425,1
37.71,-122.417,1
37.711,-122.448,30
37.711,-122.449,3
37.711,-122.469,11
37.711,-122.434,13
37.711,-122.433,9
37.711,-122.4,8
37.711,-122.435,5
37.711,-122.446,8
37.711,-122.413,9
37.711,-122.404,31
37.711,-122.441,8
37.711,-122.471,1
37.711,-122.419,7
37.711,-122.415,2
37.711,-122.417,1
37.711,-122.442,3
37.711,-122.418,1
37.711,-122.436,3
37.711,-122.47,6
37.711,-122.454,10
37.711,-122.437,6
37.711,-122.466,2
37.711,-122.451,6
37.711,-122.45,2
37.711,-122.412,3
37.711,-122.447,11
37.711,-122.438,12
37.711,-122.399,5
37.711,-122.432,7
37.711,-122.465,1
37.711,-122.398,7
37.711,-122.405,6
37.711,-122.42,2
37.711,-122.468,21
37.711,-122.397,7
37.711,-122.401,2
37.711,-122.453,21
37.711,-122.406,3
37.711,-122.408,1
37.711,-122.427,5
37.711,-122.396,5
37.711,-122.422,8
37.711,-122.463,2
37.711,-122.421,1
37.711,-122.464,6
37.711,-122.416,5
37.711,-122.414,8
37.711,-122.391,5
37.711,-122.392,7
37.711,-122.426,2
37.711,-122.439,2
37.711,-122.393,3
37.711,-122.403,5
37.711,-122.461,8
37.711,-122.462,8
37.711,-122.394,9
37.711,-122.46,11
37.711,-122.459,7
37.711,-122.458,4
37.711,-122.457,5
37.711,-122.456,1
37.711,-122.395,1
37.711,-122.467,4
37.711,-122.387,1
37.711,-122.452,1
37.711,-122.444,1
37.712,-122.458,5
37.712,-122.467,9
37.712,-122.403,14
37.712,-122.453,5
37.712,-122.422,5
37.712,-122.457,1
37.712,-122.405,18
37.712,-122.437,10
37.712,-122.438,16
37.712,-122.404,10
37.712,-122.387,3
37.712,-122.399,9
37.712,-122.419,7
37.712,-122.445,5
37.712,-122.398,5
37.712,-122.463,2
37.712,-122.449,1
37.712,-122.432,8
37.712,-122.464,9
37.712,-122.416,7
37.712,-122.465,18
37.712,-122.436,10
37.712,-122.471,3
37.712,-122.4,6
37.712,-122.466,13
37.712,-122.452,11
37.712,-122.397,2
37.712,-122.439,4
37.712,-122.41,4
37.712,-122.45,4
37.712,-122.456,2
37.712,-122.435,10
37.712,-122.44,3
37.712,-122.455,2
37.712,-122.433,4
37.712,-122.409,2
37.712,-122.447,10
37.712,-122.411,1
37.712,-122.406,15
37.712,-122.441,2
37.712,-122.42,4
37.712,-122.417,5
37.712,-122.401,7
37.712,-122.446,4
37.712,-122.413,1
37.712,-122.402,11
37.712,-122.421,3
37.712,-122.47,1
37.712,-122.442,2
37.712,-122.462,8
37.712,-122.434,2
37.712,-122.461,4
37.712,-122.46,5
37.712,-122.418,2
37.712,-122.408,3
37.712,-122.407,11
37.712,-122.451,3
37.712,-122.443,1
37.712,-122.448,1
37.712,-122.459,3
37.712,-122.388,2
37.712,-122.468,2
37.713,-122.431,1
37.713,-122.434,7
37.713,-122.401,19
37.713,-122.439,8
37.713,-122.452,1
